C2,H2,CAT,HX,C3,T,P,H2/C2,C3/C4,MI_Plant 
9300.939453,94.2302475,41.08594131,23508.37476,70.11245728,84.07154083,3.501370668,1.771908045,0.569238365,18.11083128
9290.674805,93.9394455,40.81138229,23299.49341,70.02741241,84.05641937,3.683623791,1.777068257,0.567933798,18.16078545
9297.461914,93.97065735,39.7122612,23355.71387,69.85321045,84.04555511,3.421925306,1.781457901,0.569238365,18.21118421
9315.176758,93.88337708,40.51665878,23555.59375,70.17262268,84.05098724,3.428424597,1.787304282,0.567962945,18.26189136
9306.333984,93.69311523,41.86368561,23298.67993,70.2419281,84.02996063,3.705906391,1.790585041,0.564590931,18.3127707
9298.282227,94.04180908,39.1792984,23465.46313,69.91085815,83.98058319,3.700937748,1.791073561,0.566035271,18.36368601
9300.44043,94.07618713,41.17150116,23345.74438,70.08473969,83.91750336,3.55035305,1.795959473,0.56229049,18.4145011
9311.145508,94.09394073,39.4086647,23300.55151,70.05292511,83.99971771,3.143364429,1.804518104,0.560132742,18.46507975
9286.084961,93.91400909,40.73687744,23554.49658,69.69193268,83.99924469,3.676246405,1.80759418,0.556239486,18.51528577
9299.079102,93.98609161,38.14686966,23429.95605,69.92502594,84.05145264,3.47273922,1.80759418,0.557730377,18.56498295
9295.667969,93.87245941,41.6128273,23353.28979,69.87620544,84.03681183,3.279420376,1.811665773,0.557008207,18.61403509
9297.097656,93.81998444,40.6102562,23582.17041,69.94708252,84.07248688,3.571431637,1.8149333,0.558697164,18.66230597
9293.541016,93.14730072,39.92696381,23147.61646,69.93479919,84.06374359,3.629471779,1.818464041,0.561492622,18.7096594
9312.243164,93.14910889,41.66079712,23349.16699,69.91873932,84.04224396,3.559712648,1.82304883,0.555563927,18.75595917
9286.785156,93.04625702,39.30799866,23370.72632,69.98709106,84.12091827,3.429352999,1.824918866,0.554480672,18.80106908
9295.410156,92.45206451,39.72615814,23114.17505,69.75776672,84.03728485,3.430356741,1.825176597,0.556961656,18.84485292
